Cohort mean ages at birth and cohort mean ages at birth by age 40
Last modified: 03/03/2020
Code Cohort    CMAB    CMAB40
AUT  1936     26.89     26.68
AUT  1937     26.69     26.49
AUT  1938     26.43     26.26
AUT  1939     26.16     25.99
AUT  1940     26.01     25.85
AUT  1941     25.85     25.68
AUT  1942     25.77     25.58
AUT  1943     25.52     25.37
AUT  1944     25.35     25.19
AUT  1945     25.25     25.07
AUT  1946     25.11     24.95
AUT  1947     25.11     24.95
AUT  1948     25.16     25.00
AUT  1949     25.26     25.09
AUT  1950     25.38     25.20
AUT  1951     25.43     25.25
AUT  1952     25.62     25.42
AUT  1953     25.67     25.48
AUT  1954     25.74     25.55
AUT  1955     25.88     25.68
AUT  1956     25.99     25.78
AUT  1957     26.18     25.97
AUT  1958     26.36     26.13
AUT  1959     26.47     26.23
AUT  1960     26.59     26.32
AUT  1961     26.74     26.47
AUT  1962     26.84     26.55
AUT  1963     27.02     26.73
AUT  1964     27.21     26.91
AUT  1965     27.46     27.13
AUT  1966     27.61     27.27
AUT  1967     27.85     27.48
AUT  1968         .     27.62
AUT  1969         .     27.73
AUT  1970         .     27.90
AUT  1971         .     28.04
AUT  1972         .     28.13
AUT  1973         .     28.25
AUT  1974         .     28.46
AUT  1975         .     28.61
AUT  1976         .     28.86
AUT  1977         .     28.97
BLR  1949     26.24     26.11
BLR  1950     26.16     26.04
BLR  1951     26.08     25.96
BLR  1952     26.02     25.91
BLR  1953     25.95     25.84
BLR  1954     25.84     25.75
BLR  1955     25.72     25.63
BLR  1956     25.61     25.52
BLR  1957     25.49     25.40
BLR  1958     25.36     25.27
BLR  1959     25.26     25.16
BLR  1960     25.16     25.06
BLR  1961     25.06     24.95
BLR  1962     24.98     24.87
BLR  1963     24.93     24.81
BLR  1964     24.89     24.76
BLR  1965     24.89     24.74
BLR  1966     24.90     24.73
BLR  1967         .     24.70
BLR  1968         .     24.74
BLR  1969         .     24.83
BLR  1970         .     25.00
BLR  1971         .     25.20
BLR  1972         .     25.37
BLR  1973         .     25.58
BLR  1974         .     25.83
BLR  1975         .     26.10
BLR  1976         .     26.37
BGR  1932     25.14     25.01
BGR  1933     25.06     24.93
BGR  1934     24.97     24.85
BGR  1935     24.89     24.77
BGR  1936     24.84     24.73
BGR  1937     24.77     24.67
BGR  1938     24.70     24.60
BGR  1939     24.61     24.52
BGR  1940     24.55     24.46
BGR  1941     24.44     24.35
BGR  1942     24.36     24.28
BGR  1943     24.34     24.26
BGR  1944     24.29     24.20
BGR  1945     24.24     24.15
BGR  1946     24.32     24.24
BGR  1947     24.31     24.22
BGR  1948     24.24     24.15
BGR  1949     24.17     24.10
BGR  1950     24.12     24.04
BGR  1951     24.13     24.05
BGR  1952     24.05     23.97
BGR  1953     24.01     23.93
BGR  1954     23.98     23.90
BGR  1955     23.94     23.87
BGR  1956     23.85     23.77
BGR  1957     23.80     23.73
BGR  1958     23.72     23.64
BGR  1959     23.70     23.62
BGR  1960         .     23.60
BGR  1961         .     23.56
BGR  1962         .     23.55
BGR  1963         .     23.49
BGR  1964         .     23.41
BGR  1965         .     23.46
BGR  1966         .     23.52
BGR  1967         .     23.64
BGR  1968         .     23.71
BGR  1969         .     24.03
CAN  1906     29.19     28.36
CAN  1907     29.23     28.41
CAN  1908     29.30     28.49
CAN  1909     29.40     28.61
CAN  1910     29.51     28.72
CAN  1911     29.60     28.79
CAN  1912     29.65     28.85
CAN  1913     29.66     28.88
CAN  1914     29.61     28.86
CAN  1915     29.56     28.82
CAN  1916     29.52     28.80
CAN  1917     29.48     28.78
CAN  1918     29.44     28.77
CAN  1919     29.30     28.66
CAN  1920     29.13     28.51
CAN  1921     29.00     28.43
CAN  1922     28.91     28.39
CAN  1923     28.76     28.28
CAN  1924     28.57     28.16
CAN  1925     28.40     28.03
CAN  1926     28.21     27.89
CAN  1927     28.00     27.72
CAN  1928     27.77     27.52
CAN  1929     27.57     27.35
CAN  1930     27.37     27.19
CAN  1931     27.13     26.97
CAN  1932     26.86     26.72
CAN  1933     26.59     26.46
CAN  1934     26.36     26.25
CAN  1935     26.15     26.04
CAN  1936     25.92     25.82
CAN  1937     25.72     25.62
CAN  1938     25.55     25.46
CAN  1939     25.43     25.34
CAN  1940     25.35     25.25
CAN  1941     25.30     25.20
CAN  1942     25.32     25.22
CAN  1943     25.43     25.32
CAN  1944     25.61     25.49
CAN  1945     25.75     25.63
CAN  1946     25.81     25.68
CAN  1947     25.93     25.79
CAN  1948     26.15     26.00
CAN  1949     26.36     26.20
CAN  1950     26.54     26.36
CAN  1951     26.69     26.51
CAN  1952     26.82     26.63
CAN  1953     26.91     26.71
CAN  1954     27.02     26.81
CAN  1955     27.15     26.93
CAN  1956     27.27     27.05
CAN  1957     27.40     27.18
CAN  1958     27.54     27.31
CAN  1959     27.69     27.45
CAN  1960     27.83     27.57
CAN  1961     27.96     27.70
CAN  1962     28.10     27.81
CAN  1963     28.23     27.94
CAN  1964     28.34     28.03
CAN  1965     28.44     28.10
CAN  1966     28.51     28.15
CAN  1967         .     28.21
CAN  1968         .     28.32
CAN  1969         .     28.42
CAN  1970         .     28.53
CAN  1971         .     28.63
CAN  1972         .     28.70
CAN  1973         .     28.75
CAN  1974         .     28.83
CAN  1975         .     28.90
CAN  1976         .     28.99
CZE  1935     25.18     25.07
CZE  1936     25.19     25.09
CZE  1937     25.17     25.07
CZE  1938     25.14     25.05
CZE  1939     25.06     24.96
CZE  1940     25.02     24.93
CZE  1941     25.06     24.99
CZE  1942     25.13     25.06
CZE  1943     25.15     25.08
CZE  1944     25.15     25.08
CZE  1945     25.13     25.07
CZE  1946     25.17     25.11
CZE  1947     25.14     25.07
CZE  1948     25.04     24.98
CZE  1949     24.95     24.88
CZE  1950     24.85     24.78
CZE  1951     24.79     24.71
CZE  1952     24.72     24.64
